model,bleu
model-save-dir-23,36.46
model-save-dir-22,36.45
model-save-dir-64,36.42
model-save-dir-39,36.4
model-save-dir-80,36.38
model-save-dir-71,36.38
model-save-dir-17,36.37
model-save-dir-48,36.36
model-save-dir-4,36.35
model-save-dir-62,36.34
model-save-dir-67,36.34
model-save-dir-18,36.34
model-save-dir-60,36.33
model-save-dir-15,36.32
model-save-dir-41,36.32
model-save-dir-25,36.31
model-save-dir-12,36.31
model-save-dir-5,36.3
model-save-dir-79,36.28
model-save-dir-34,36.26
model-save-dir-51,36.26
model-save-dir-75,36.26
model-save-dir-73,36.25
model-save-dir-33,36.25
model-save-dir-36,36.25
model-save-dir-59,36.24
model-save-dir-72,36.23
model-save-dir-56,36.23
model-save-dir-69,36.22
model-save-dir-9,36.22
model-save-dir-55,36.21
model-save-dir-14,36.21
model-save-dir-26,36.21
model-save-dir-29,36.2
model-save-dir-52,36.2
model-save-dir-50,36.2
model-save-dir-47,36.2
model-save-dir-70,36.19
model-save-dir-61,36.19
model-save-dir-53,36.19
model-save-dir-35,36.18
model-save-dir-66,36.17
model-save-dir-63,36.17
model-save-dir-16,36.17
model-save-dir-10,36.17
model-save-dir-57,36.16
model-save-dir-6,36.16
model-save-dir-32,36.16
model-save-dir-19,36.16
model-save-dir-54,36.16
model-save-dir-21,36.15
model-save-dir-44,36.15
model-save-dir-43,36.15
model-save-dir-37,36.14
model-save-dir-38,36.14
model-save-dir-27,36.13
model-save-dir-20,36.13
model-save-dir-42,36.13
model-save-dir-13,36.12
model-save-dir-40,36.12
model-save-dir-76,36.11
model-save-dir-24,36.11
model-save-dir-7,36.1
model-save-dir-78,36.1
model-save-dir-8,36.1
model-save-dir-11,36.09
model-save-dir-68,36.09
model-save-dir-45,36.08
model-save-dir-31,36.07
model-save-dir-77,36.07
model-save-dir-74,36.07
model-save-dir-58,36.05
model-save-dir-49,36.03
model-save-dir-65,36.02
model-save-dir-30,36.02
model-save-dir-28,35.97
model-save-dir-46,35.95
model-save-dir-3,34.76
